gene_symbol,Ift74
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
analysis_id,ae722l6k4v79s6b
pvalue,0.1967612
mouse_strain,C57BL
parameter_name,Glucose
