analysis_id,f3h7u0b20nbak99
gene_symbol,Gja10
gene_accession_id,MGI:1339969
mouse_strain,C57BL
pvalue,0.6796156
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_101_001
