parameter_name,Ly6Clow monocyte percentage
pvalue,0.9900828
parameter_id,MGP_PBI_018_001
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
analysis_id,t8bx0cku6u17j5i
mouse_strain,C57BL
