mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,CD4+ T helper cells - % of CD45+
pvalue,0.2056629
gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_id,MGP_IMM_072_001
analysis_id,1sy8maj8j449190
