parameter_name,Average duration
mouse_strain,C57BL
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:2140475
analysis_id,zg30brhk8sws875
mouse_life_stage,Late adult
gene_symbol,AU040320
pvalue,0.06843553
