analysis_id,0yg446mq8u41d48
parameter_id,IMPC_DXA_008_001
pvalue,0.2433311
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,Lean/Body weight
