analysis_id,9i4wh098x2f5200
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_062_001
parameter_name,Right total retinal thickness
mouse_strain,C57BL
gene_symbol,Tnfsf10
pvalue,0.2580002
gene_accession_id,MGI:107414
