analysis_id,7485i0zsx3300ge
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:1914309
pvalue,0.5116278
gene_symbol,Ola1
mouse_strain,C51BL
parameter_name,Radius
mouse_life_stage,E18.5
