gene_symbol,Hpca
parameter_name,Startle response
analysis_id,2n7b3911x046wdm
gene_accession_id,MGI:1336200
pvalue,0.479616
parameter_id,ESLIM_008_001_013
mouse_life_stage,Early adult
mouse_strain,C57BL
