analysis_id,0djvst009fmke81
parameter_name,Stroke Volume
gene_symbol,Ahcy
pvalue,0.9748349
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
