parameter_name,Bone Mineral Content
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
pvalue,0.55236
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
analysis_id,30169g133o0x51d
mouse_strain,C57BL
