parameter_name,Whole arena average speed
parameter_id,IMPC_OFD_009_001
gene_accession_id,MGI:95457
pvalue,0.9806515
analysis_id,o686121du50rzs2
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Mecom
