parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
mouse_strain,C57BL
pvalue,0.8119946
gene_symbol,Cpa3
gene_accession_id,MGI:88479
analysis_id,7o47rdar30k815j
mouse_life_stage,Early adult
