parameter_name,Creatinine
gene_symbol,Tbl1xr1
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,nf3n3t0456q84y5
pvalue,0.6136269
