analysis_id,8b92082i1y1uy3h
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
parameter_name,Lower teeth appearance
gene_symbol,Mecom
pvalue,0.9935644
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
