parameter_id,IMPC_ECG_010_001
Parameter_name,HRV
Pvalue,0.1346291
Analysis_id,13y4d4je8n306qg
Gene_accession_id,MGI:2673000
Mouse_life_stage,Early adult
gene_symbol,Trim46
Mouse_strain,C53BL
