parameter_name,Thyroxine
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9181686
parameter_id,IMPC_CBC_053_001
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
analysis_id,lc299t8d67h0ou6
