gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6303923
parameter_name,Tremor
analysis_id,64bl9wv9t79h2j5
