analysis_id,01nh8n2f82z2kva
gene_accession_id,MGI:1914583
pvalue,0.0859839
parameter_name,Neutrophil cell count
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Early adult
gene_symbol,Stk35
mouse_strain,C57BL
