gene_symbol,Dmap1
mouse_life_stage,E9.5
analysis_id,p1oandhz6396c4l
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_name,Periphery distance travelled
parameter_id,ESLIM_007_001_006
pvalue,0.9994142
