gene_symbol,Nemp2
parameter_id,MGP_IMM_011_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Early adult
pvalue,0.4651231
analysis_id,ro01mdlf41n8020
gene_accession_id,MGI:2444113
