parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2670995
analysis_id,a03g4r1936l99dd
pvalue,0.3677064
gene_symbol,Trp53i11
