analysis_id,39z41nf8ychh2j8
mouse_strain,C57BL
gene_symbol,Tubb4b
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
mouse_life_stage,Early adult
pvalue,0.7819233
gene_accession_id,MGI:1915472
