parameter_name,Periphery resting time
parameter_id,ESLIM_007_001_007
mouse_strain,C57BL
gene_symbol,EXTL1
pvalue,0.3993126
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
analysis_id,wv1tlldtnk6g6ar
