mouse_strain,129SV
gene_symbol,Arpc2
mouse_life_stage,Early adult
pvalue,0.1334641
parameter_name,Eosinophil cell count
gene_accession_id,MGI:1923959
parameter_id,IMPC_HEM_036_001
analysis_id,u16353z8hr15h10
