gene_symbol,Bmp7
mouse_strain,C57BL
pvalue,0.99704
gene_accession_id,MGI:103302
analysis_id,pgojo2617573721
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
parameter_name,Respiration Rate
