parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
analysis_id,5k62040985yr4t2
pvalue,0.4553076
mouse_strain,C57BL
gene_symbol,Cds2
parameter_name,BMC/Body weight
