analysis_id,8pk6r9h4513h23e
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
parameter_name,18kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
gene_symbol,Slc28a2
pvalue,0.203067
