parameter_name,Limb grasp
parameter_id,IMPC_CSD_039_001
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.274923
gene_symbol,Bmi1
analysis_id,a1t90ebg4ylbj23
