gene_symbol,Ppm1j
analysis_id,306f300z6hotf6v
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919137
parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
pvalue,0.1034692
