pvalue,1.110223e-15
parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bach2
analysis_id,44plq4i818idtmc
gene_accession_id,MGI:894679
