analysis_id,2fot4c3keqgq1sw
gene_accession_id,MGI:1927379
parameter_name,Distance travelled - total
parameter_id,JAXLA_OFD_020_001
gene_symbol,Rhbg
pvalue,0.08695645
mouse_life_stage,Early adult
mouse_strain,C57BL
