gene_symbol,Tiprl
parameter_id,IMPC_CSD_036_001
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,t76ez35kg8x5yhw
pvalue,0.2609442
gene_accession_id,MGI:1915087
parameter_name,Startle response
