analysis_id,bae24x2le3fdy4v
parameter_name,Number of centre entries
mouse_life_stage,Early adult
pvalue,0.3485489
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
