parameter_name,Periphery average speed
gene_accession_id,MGI:95576
gene_symbol,Fpgs
parameter_id,IMPC_OFD_013_001
pvalue,0.7187416
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,u72941te627bwh5
