parameter_name,Limb morphology
gene_accession_id,MGI:3650254
pvalue,0.06437973
analysis_id,4dx79hd2d7gl83m
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
gene_symbol,Zfp683
mouse_life_stage,Early adult
