parameter_name,Anophthalmia
mouse_strain,C57BL
analysis_id,sct45f37b7g7qv1
pvalue,0.8111939
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Early adult
