parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
gene_symbol,Snrpb2
mouse_life_stage,Early adult
parameter_name,T cells - % of CD45+
analysis_id,4938bl4c0zj893c
gene_accession_id,MGI:104805
pvalue,0.3219143
