analysis_id,25l310t51deqll1
mouse_life_stage,Early adult
pvalue,0.7890863
parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:1332236
gene_symbol,Cds2
mouse_strain,C57BL
