gene_symbol,Tbl1xr1
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.6127368
gene_accession_id,MGI:2441730
parameter_name,Conditioning Baseline % Freezing Time
parameter_id,IMPC_FEA_003_001
analysis_id,lwr7qcxl3vbys2p
