gene_symbol,AU040320
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
pvalue,0.8380851
parameter_name,Centre resting time
mouse_strain,C57BL
analysis_id,11vgm36a41g5788
parameter_id,ESLIM_007_001_011
