gene_symbol,Bcs1l
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
analysis_id,udz78443lzs1we1
pvalue,0.08323676
parameter_name,Eosinophil number
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
