analysis_id,tle46m9ry078o73
parameter_name,PP3 + pulse startle magnitude
mouse_strain,C57BL
pvalue,0.113424
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:104848
gene_symbol,Inpp1
