parameter_name,Delayed embryonic development
gene_symbol,Cdin1
analysis_id,c1sb732t2530452
mouse_life_stage,Early adult
pvalue,0.4190858
gene_accession_id,MGI:3026886
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
