mouse_strain,129SV
gene_accession_id,MGI:104848
pvalue,0.8966165
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_100_001
gene_symbol,Inpp1
analysis_id,u46l7m836o3r4sx
