gene_symbol,Zyg11b
pvalue,0.42739
analysis_id,1tbn53cnu968s80
mouse_life_stage,Early adult
mouse_strain,C54BL
parameter_name,ST
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:2685277
