gene_symbol,Dhdds
analysis_id,644ki1682b0r128
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_name,Right total retinal thickness
pvalue,0.9286257
parameter_id,IMPC_EYE_062_001
mouse_life_stage,Early adult
