analysis_id,ys7s0995mpg8j50
parameter_name,Sacral processes
pvalue,0.2163105
mouse_strain,C57BL
gene_symbol,Psd4
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
