gene_symbol,Atg4c
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
analysis_id,k56kw5pbc2ztl18
gene_accession_id,MGI:2651854
pvalue,0.9773616
parameter_name,Calcium
