analysis_id,589jg53t9345j88
pvalue,0.5126574
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
mouse_life_stage,Early adult
