gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
analysis_id,30fx7155who3wd4
pvalue,0.9338488
parameter_id,M-G-P_006_001_026
