parameter_name,Ly6Clow monocyte percentage
parameter_id,MGP_PBI_018_001
pvalue,0.3917644
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
mouse_strain,C57BL
gene_symbol,Zmynd8
analysis_id,3c2s8l7a1bpi82n
