parameter_name,Neutrophil differential count
pvalue,0.4568199
analysis_id,5pb6w9130yt7523
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_id,IMPC_HEM_029_001
gene_symbol,Fgb
mouse_life_stage,Early adult
