gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
analysis_id,1r3fq1568661q98
mouse_strain,C57BL
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.9316684
