analysis_id,v3pr5g39q9x6vxe
parameter_name,Heart weight
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
pvalue,0.3274148
parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
