parameter_id,IMPC_GEP_076_001
gene_symbol,Ppm1j
parameter_name,Cleft palate
mouse_life_stage,Early adult
analysis_id,q7vut2lu76ozwhq
mouse_strain,C57BL
pvalue,0.8536955
gene_accession_id,MGI:1919137
