gene_symbol,Nanp
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_010_001
analysis_id,g59tj31azp50n5c
gene_accession_id,MGI:1914561
parameter_name,Phosphorus
pvalue,0.2663606
