analysis_id,11055uc36zbp2s2
gene_accession_id,MGI:3026886
parameter_id,MGP_MLN_013_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Cdin1
mouse_strain,C57BL
pvalue,0.1918464
