parameter_name,Alkaline phosphatase
analysis_id,rb0d1pnw734evvu
mouse_life_stage,Late adult
pvalue,0.8737109
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:2140475
