analysis_id,520qvlgqhs65c80
mouse_life_stage,E12.5
parameter_name,Body Weight
gene_symbol,Mecom
mouse_strain,C57BL
gene_accession_id,MGI:95457
pvalue,0.6292481
parameter_id,M-G-P_012_001_005
