parameter_name,Periphery distance travelled
pvalue,0.8218122
mouse_strain,C57BL
analysis_id,90pv7i6vcb45cj4
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_id,ESLIM_007_001_006
gene_symbol,Tnni1
