gene_symbol,Kcng1
analysis_id,a3ku9t002de4b9x
parameter_id,MGP_MLN_010_001
mouse_life_stage,Early adult
pvalue,0.6360536
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:3616086
mouse_strain,C57BL
