parameter_name,Chloride
gene_symbol,Lime1
parameter_id,IMPC_CBC_003_001
analysis_id,7440bhh9z9ug3p4
gene_accession_id,MGI:1919949
pvalue,0.5155437
mouse_strain,C57BL
mouse_life_stage,Early adult
