gene_symbol,Rhbg
analysis_id,2pcgejs5y59i561
gene_accession_id,MGI:1927379
mouse_strain,C57BL
pvalue,0.105448
mouse_life_stage,Early adult
parameter_id,MGP_IMM_020_001
parameter_name,Effector gd T cells - % of gd T cells
